product_id,product_name,category,subcategory,cost_price
1,Decor Product 1,Home,Decor,3416.54
2,Kitchen Product 2,Home,Kitchen,3912.3
3,Men Product 3,Clothing,Men,4558.03
4,Mobiles Product 4,Electronics,Mobiles,1555.42
5,Women Product 5,Clothing,Women,1166.08
6,Kitchen Product 6,Home,Kitchen,3193.53
7,Kitchen Product 7,Home,Kitchen,3091.42
8,Headphones Product 8,Electronics,Headphones,2979.45
9,Men Product 9,Clothing,Men,3617.13
10,Decor Product 10,Home,Decor,452.05
11,Decor Product 11,Home,Decor,2882.08
12,Laptops Product 12,Electronics,Laptops,2750.61
13,Furniture Product 13,Home,Furniture,4046.38
14,Non-Fiction Product 14,Books,Non-Fiction,3458.64
15,Women Product 15,Clothing,Women,2348.99
16,Decor Product 16,Home,Decor,3684.29
17,Furniture Product 17,Home,Furniture,2599.15
18,Laptops Product 18,Electronics,Laptops,656.48
19,Fiction Product 19,Books,Fiction,1486.55
20,Comics Product 20,Books,Comics,4815.29
21,Women Product 21,Clothing,Women,3619.59
22,Men Product 22,Clothing,Men,2597.89
23,Non-Fiction Product 23,Books,Non-Fiction,495.74
24,Comics Product 24,Books,Comics,1241.61
25,Kitchen Product 25,Home,Kitchen,3007.72
26,Non-Fiction Product 26,Books,Non-Fiction,4243.5
27,Fiction Product 27,Books,Fiction,3651.16
28,Non-Fiction Product 28,Books,Non-Fiction,2872.89
29,Women Product 29,Clothing,Women,413.98
30,Comics Product 30,Books,Comics,4946.0
31,Mobiles Product 31,Electronics,Mobiles,1999.82
32,Decor Product 32,Home,Decor,3787.08
33,Kids Product 33,Clothing,Kids,2525.39
34,Mobiles Product 34,Electronics,Mobiles,4029.63
35,Fiction Product 35,Books,Fiction,2601.75
36,Decor Product 36,Home,Decor,1995.13
37,Decor Product 37,Home,Decor,4150.03
38,Comics Product 38,Books,Comics,2400.72
39,Laptops Product 39,Electronics,Laptops,592.54
40,Comics Product 40,Books,Comics,4498.9
41,Headphones Product 41,Electronics,Headphones,4837.0
42,Kids Product 42,Clothing,Kids,894.03
43,Fiction Product 43,Books,Fiction,1248.87
44,Mobiles Product 44,Electronics,Mobiles,2122.96
45,Comics Product 45,Books,Comics,2534.01
46,Comics Product 46,Books,Comics,3543.59
47,Kids Product 47,Clothing,Kids,3328.02
48,Non-Fiction Product 48,Books,Non-Fiction,2325.33
49,Decor Product 49,Home,Decor,3871.35
