item_id,order_id,product_id,quantity,unit_price,discount_percent
1,59,233,1,1510.46,99.37
2,402,364,1,1715.36,89.63
3,437,528,5,2148.57,92.66
4,225,469,1,2366.79,60.97
5,440,105,5,405.69,62.99
6,446,211,3,947.16,44.15
7,260,511,1,1154.84,81.92
8,63,207,4,2330.74,0.66
9,428,486,3,596.66,26.6
10,367,425,3,811.81,75.32
11,272,432,2,1343.59,91.8
12,460,470,5,1149.15,2.98
13,75,11,5,345.86,31.48
14,396,169,4,2301.66,66.02
15,329,155,5,1931.66,71.34
16,339,533,3,2668.77,70.08
17,448,312,3,122.92,27.98
18,271,151,4,694.89,54.44
19,404,453,3,2366.53,40.45
20,102,309,1,1070.03,72.51
21,379,130,5,923.39,9.28
22,283,320,5,1943.49,2.34
23,456,553,5,2513.46,30.39
24,217,518,1,2540.59,25.98
25,260,363,1,1987.79,12.47
26,153,587,1,2950.56,80.54
27,298,580,5,778.13,29.92
28,342,587,2,1607.03,24.76
29,168,529,5,2357.79,45.43
30,76,436,4,280.36,88.85
31,244,220,4,2062.79,40.28
32,287,532,4,1794.48,63.65
33,226,502,4,518.6,12.71
34,365,469,2,1588.24,52.91
35,356,218,4,2264.84,94.41
36,190,122,5,419.97,36.96
37,149,42,5,1177.26,99.1
38,156,302,-4,514.32,78.38
39,216,50,3,725.19,81.91
40,251,3,1,295.94,4.47
41,247,587,3,2710.83,78.13
42,244,136,2,1436.71,44.99
43,230,153,3,1911.83,62.36
44,199,239,4,232.88,67.04
45,227,285,1,2150.91,57.2
46,408,317,5,1967.35,8.52
47,490,555,5,2876.15,52.18
48,385,488,5,448.82,93.62
49,93,20,3,811.33,70.56
50,455,594,4,1647.28,32.04
51,302,47,4,167.46,43.7
52,213,25,5,845.82,11.46
53,51,555,2,629.74,76.83
54,79,315,4,270.85,96.11
55,93,28,1,386.36,14.25
56,458,332,3,2500.45,12.1
57,104,246,5,1529.64,75.24
58,198,118,3,1447.99,40.71
59,248,30,4,2749.83,1.86
60,284,104,2,1989.5,12.56
61,291,417,4,1943.82,20.35
62,496,146,3,587.75,24.52
63,488,434,5,102.9,46.47
64,425,297,-2,2807.17,48.22
65,307,257,4,2543.07,21.28
66,431,523,3,2243.63,56.31
67,154,92,4,2508.44,72.51
68,144,443,2,2876.51,31.83
69,350,351,3,2152.49,27.3
70,340,330,3,2881.08,32.85
71,468,137,1,112.41,0.96
72,89,424,5,2139.57,76.25
73,276,84,1,2688.46,81.61
74,228,127,3,1191.49,60.13
75,199,182,1,1174.39,19.3
76,5,227,1,2073.61,70.92
77,99,93,5,2444.4,22.11
78,253,372,1,2723.07,70.7
79,108,8,2,1951.46,11.09
80,143,583,5,1700.18,65.98
81,290,579,2,471.91,6.5
82,133,584,2,2213.81,27.43
83,435,24,5,2073.97,88.31
84,2,438,1,1036.7,84.43
85,209,281,1,1453.1,36.15
86,389,45,2,2763.34,53.24
87,162,6,4,337.25,57.18
88,13,232,4,2759.29,19.69
89,169,319,1,380.51,48.0
90,414,25,5,2811.68,84.05
91,127,111,4,1088.33,5.44
92,171,533,2,2349.67,61.96
93,392,98,4,348.05,6.07
94,18,387,3,2110.75,78.26
95,32,453,1,1915.94,6.58
96,347,58,5,2564.8,40.17
97,317,421,2,2383.68,62.4
98,233,394,4,2651.82,61.92
99,174,27,4,1804.66,10.8
100,7,70,5,661.48,57.32
101,327,522,3,1496.06,62.09
102,96,249,2,275.42,31.17
103,224,526,3,2667.14,77.55
104,76,481,3,944.09,97.03
105,266,149,1,2475.63,55.94
106,28,433,3,681.08,90.85
107,403,71,3,1479.6,69.18
108,240,340,5,1073.42,29.96
109,169,167,1,2388.66,4.22
110,113,4,2,1452.96,21.31
111,247,340,4,634.31,98.99
112,186,11,1,1708.61,14.24
113,226,200,5,1143.74,97.53
114,102,203,3,2667.61,71.88
115,174,568,2,162.33,84.29
116,467,104,1,498.01,65.49
117,454,114,3,984.71,24.01
118,415,382,2,2933.6,99.77
119,452,445,1,2659.9,13.08
120,98,197,5,1185.34,59.95
121,326,251,1,1803.25,85.44
122,151,153,3,1925.43,28.01
123,65,521,5,706.79,8.14
124,241,67,2,2278.79,64.51
125,261,384,4,619.1,71.25
126,270,495,4,1785.44,63.81
127,405,598,1,2695.17,45.21
128,121,406,2,2677.26,57.14
129,479,384,3,489.56,8.4
130,228,532,3,219.31,51.23
131,173,437,4,1285.96,80.45
132,163,280,-4,1380.9,26.56
133,39,368,1,1555.12,54.67
134,41,284,2,306.91,3.83
135,103,342,2,825.07,74.52
136,394,282,2,2994.19,99.84
137,386,557,-3,968.48,82.23
138,401,414,4,2297.64,1.19
139,335,525,2,759.98,72.33
140,108,486,2,2379.33,75.76
141,370,473,3,1007.92,18.78
142,395,428,2,2573.54,3.01
143,72,592,2,2239.63,49.98
144,338,364,3,1334.59,75.26
145,391,551,3,167.4,78.54
146,473,143,2,2983.35,56.82
147,410,588,4,692.19,39.06
148,274,396,2,1053.64,96.19
149,328,312,1,2057.17,17.76
150,424,501,1,301.52,96.3
151,146,211,2,1620.75,45.47
152,189,531,1,2593.15,41.09
153,81,114,2,1486.93,6.88
154,490,212,2,998.3,81.79
155,341,487,2,2823.55,58.75
156,258,470,3,2974.15,44.57
157,423,409,5,1624.98,91.03
158,451,503,4,213.35,9.11
159,331,468,3,2163.78,29.74
160,314,180,4,2709.9,73.32
161,235,394,2,377.05,69.86
162,23,246,2,1921.44,29.19
163,470,69,2,1292.71,76.19
164,63,378,1,1562.75,77.95
165,210,462,2,1567.59,46.22
